dataset,n,chunk_size,merge_seed,method,statistic,estimate,oracle_decimal,absolute_error,relative_error,ulp_error,binary64
centered_wide,12000,31,2,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,3,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,3,chan_random,mean,8.3333333333309085e-05,0.000083333333333334369541489650146104395389556884765625,2.5284462024099951804601005278527736663818359375E-17,3.0341354428919564886014010985785556865442734954822053873711447106172450140829001E-13,1865.664,3f15d867c3ecdba8
centered_wide,12000,31,3,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,4,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,4,chan_random,mean,8.3333333333355313e-05,0.000083333333333334369541489650146104395389556884765625,2.0943208105250743500391763518564403057098388671875E-17,2.5131849726300579698538079568845145376775139716553941891458350927746962695763077E-13,1545.336,3f15d867c3ece8fb
centered_wide,12000,31,4,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,5,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,5,chan_random,mean,8.3333333333292741e-05,0.000083333333333334369541489650146104395389556884765625,4.162880977431893114726335625164210796356201171875E-17,4.9954571729182096216699974400879261615989424152617260819708156701278522225534379E-13,3071.6640000000002,3f15d867c3ecd6f2
centered_wide,12000,31,5,chan_random,population_variance,850.02274999305575,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,1.8081069143151119421650048334997905750201383831978851988303565875E-13,2.1271276731474347294545825174640672108867964057865835433553022415153181923996364E-16,1.5904276612413195,408a902e978c6145
centered_wide,12000,31,6,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,6,chan_random,mean,8.3333333333301862e-05,0.000083333333333334369541489650146104395389556884765625,3.2507958998284625096175659564323723316192626953125E-17,3.9009550797941065051234258498426472812409057792653600558799545127890142032328144E-13,2398.6640000000002,3f15d867c3ecd993
centered_wide,12000,31,6,chan_random,population_variance,850.02274999305575,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,1.8081069143151119421650048334997905750201383831978851988303565875E-13,2.1271276731474347294545825174640672108867964057865835433553022415153181923996364E-16,1.5904276612413195,408a902e978c6145
