dataset,n,method,construction,capacity,seed,partition_size,merge_seed,q,value,oracle_value,value_error,target_index,tie_lower_index,tie_upper_index,rank_error,retained,retained_fraction
normal,20000,kll,sequential,64,11,,,0.10000000000000001,-1.2907967894912431,-1.2913587514538585,0.00056196196261537601,1999,2004,2004,0.00025001250062503126,125,0.0062500000000000003
normal,20000,kll,sequential,64,11,,,0.25,-0.71876526154614107,-0.68207070925987068,0.036694552286270388,4999,4745,4745,0.012700635031751588,125,0.0062500000000000003
normal,20000,kll,sequential,64,11,,,0.5,-0.036515414987580076,-0.0057934692610270306,0.030721945726553047,9999,9751,9751,0.01240062003100155,125,0.0062500000000000003
normal,20000,kll,sequential,64,11,,,0.75,0.62937192461868952,0.66396027043969696,0.034588345821007449,14999,14770,14770,0.011450572528626432,125,0.0062500000000000003
normal,20000,kll,sequential,64,11,,,0.90000000000000002,1.2351617454333139,1.2605493334517524,0.025387588018438434,17999,17902,17902,0.0048502425121256061,125,0.0062500000000000003
normal,20000,kll,sequential,64,11,,,0.98999999999999999,2.1573662738226074,2.3085331684105435,0.15116689458793608,19799,19686,19686,0.0056502825141257059,125,0.0062500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.01,-2.1077013312473825,-2.3706471596639775,0.26294582841659508,199,378,378,0.0089504475223761183,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.10000000000000001,-1.3006345569869493,-1.2913587514538585,0.0092758055330908196,1999,1972,1972,0.0013500675033751687,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.25,-0.66592811313407929,-0.68207070925987068,0.016142596125791386,4999,5095,5095,0.0048002400120006001,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.5,0.020818909175790979,-0.0057934692610270306,0.026612378436818011,9999,10190,10190,0.0095504775238761941,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.75,0.68004579316977321,0.66396027043969696,0.01608552273007624,14999,15110,15110,0.0055502775138756939,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.90000000000000002,1.3158654228369859,1.2605493334517524,0.05531608938523358,17999,18157,18157,0.0079003950197509883,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,11,257,20260823,0.98999999999999999,2.2581733984066918,2.3085331684105435,0.050359770003851612,19799,19759,19759,0.0020001000050002501,105,0.0052500000000000003
normal,20000,kll,sequential,64,29,,,0.01,-2.0539636604944538,-2.3706471596639775,0.31668349916952376,199,423,423,0.0112005600280014,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.10000000000000001,-1.4033017019389751,-1.2913587514538585,0.1119429504851166,1999,1674,1674,0.016250812540627033,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.25,-0.68299330351432508,-0.68207070925987068,0.0009225942544544008,4999,4990,4990,0.00045002250112505623,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.5,0.00072879671347663919,-0.0057934692610270306,0.0065222659745036698,9999,10048,10048,0.0024501225061253061,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.75,0.68407424144901896,0.66396027043969696,0.020113971009321996,14999,15136,15136,0.0068503425171258566,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.90000000000000002,1.2861084647180017,1.2605493334517524,0.025559131266249313,17999,18079,18079,0.0040002000100005002,125,0.0062500000000000003
normal,20000,kll,sequential,64,29,,,0.98999999999999999,2.186767405157799,2.3085331684105435,0.12176576325274446,19799,19714,19714,0.0042502125106255312,125,0.0062500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.01,-3.2504530900046085,-2.3706471596639775,0.87980593034063093,199,13,13,0.0093004650232511622,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.10000000000000001,-1.2385613342682955,-1.2913587514538585,0.052797417185562967,1999,2180,2180,0.0090504525226261321,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.25,-0.6721811909729698,-0.68207070925987068,0.009889518286900878,4999,5058,5058,0.0029501475073753689,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.5,0.021148803500576019,-0.0057934692610270306,0.026942272761603048,9999,10192,10192,0.0096504825241262061,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.75,0.67492314575111489,0.66396027043969696,0.01096287531141793,14999,15064,15064,0.0032501625081254064,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.90000000000000002,1.2249225059950732,1.2605493334517524,0.035626827456679111,17999,17867,17867,0.0066003300165008248,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,29,257,20260841,0.98999999999999999,2.2558191694899121,2.3085331684105435,0.052713998920631333,19799,19756,19756,0.0021501075053752686,105,0.0052500000000000003
normal,20000,kll,sequential,64,47,,,0.01,-2.6438279355803065,-2.3706471596639775,0.27318077591632894,199,89,89,0.0055002750137506879,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.10000000000000001,-1.210321393367263,-1.2913587514538585,0.081037358086595512,1999,2281,2281,0.014100705035251763,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.25,-0.63245273665922752,-0.68207070925987068,0.049617972600643157,4999,5312,5312,0.015650782539126957,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.5,-0.0047113163793028783,-0.0057934692610270306,0.0010821528817241523,9999,10013,10013,0.00070003500175008749,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.75,0.69054939282872307,0.66396027043969696,0.02658912238902611,14999,15177,15177,0.0089004450222511123,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.90000000000000002,1.3521571801591559,1.2605493334517524,0.091607846707403517,17999,18264,18264,0.013250662533126656,125,0.0062500000000000003
normal,20000,kll,sequential,64,47,,,0.98999999999999999,2.2591951721712995,2.3085331684105435,0.049337996239243953,19799,19761,19761,0.0019000950047502376,125,0.0062500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.01,-2.3139683166153877,-2.3706471596639775,0.056678843048589833,199,238,238,0.0019500975048752439,105,0.0052500000000000003
